subject_id,gender,age,counterbalance,fine motor,gross motor,total,toy_1,toy_1_confounding,toy_1_competence,toy_1_help,toy_1_time,toy_2,toy_2_confounding,toy_2_competence,toy_2_help,toy_2_time,pair_1_first_pick,pair_1_first_pick_confounding,toy_1_time_pair_1,toy_2_time_pair_1,toy_3,toy_3_confounding,toy_3_competence,toy_3_help,toy_3_time,toy_4,toy_4_confounding,toy_4_competence,toy_4_help,toy_4_time,pair_2_first_pick,pair_2_first_pick_confounding,toy_1_time_pair_2,toy_2_time_pair_2,toy_5,toy_5_confounding,toy_5_competence,toy_5_help,toy_5_time,toy_6,toy_6_confounding,toy_6_competence,toy_6_help,toy_6_time,pair_3_first_pick,pair_3_first_pick_confounding,toy_1_time_pair_3,toy_2_time_pair_3
2,F,30,PL DI SZ,5,6,11,P,C,3,0,31,L,U,1,1,137,L,U,151,0,D,U,1,1,113,I,C,3,0,92,D,U,0,0,S,C,3,0,108,Z,U,1,1,175,S,C,65,0
3,F,30,PL DI SZ,7,5,12,P,C,3,0,26,L,U,3,0,7,P,C,138,234,D,U,2,0,9,I,C,1,0,76,D,U,34,54,S,C,3,0,60,Z,U,3,1,5,S,C,41,2
5,M,30,PL DI SZ,7,7,14,P,U,3,0,13,L,C,3,0,14,P,U,52,40,D,C,3,0,11,I,U,3,1,175,D,C,10,59,S,U,3,0,48,Z,C,3,0,15,Z,C,7,110
6,M,30,PL DI SZ,7,5,12,P,U,3,0,89,L,C,3,0,40,L,C,155,61,D,C,3,0,38,I,U,2,0,125,D,C,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,F,30,PL DI SZ,7,7,14,P,U,3,0,52,L,C,3,0,29,L,C,19,32,D,C,3,0,9,I,U,1,1,32,D,C,17,0,S,U,2,0,10,Z,C,3,0,9,S,U,5,20
8,M,30,PL DI SZ,6,7,13,P,U,NA,NA,NA,L,C,3,0,31,NA,NA,NA,NA,D,C,3,0,11,I,U,1,0,183,D,C,NA,NA,S,U,2,0,48,Z,C,3,0,75,Z,C,10,0
9,M,26,DI SZ PL,6,7,13,D,C,3,0,12,I,U,1,1,43,D,C,54,0,S,U,3,0,48,Z,C,3,0,10,Z,C,22,61,P,U,2,0,80,L,C,3,0,17,L,C,23,45
10,F,25,DI SZ PL,5,7,12,I,C,3,0,85,D,U,1,0,0,I,C,145,0,Z,U,2,1,110,S,C,3,0,140,Z,U,4,70,L,U,1,1,185,P,C,3,0,44,P,C,182,0
12,M,25,DI SZ PL,6,5,11,D,C,3,0,10,I,U,1,1,190,D,C,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,M,33,DI SZ PL,7,7,14,D,U,1,1,30,I,C,3,0,56,D,U,25,0,S,C,3,0,80,Z,U,3,1,30,S,C,17,0,P,U,3,0,48,L,C,3,0,4,L,C,12,39
15,M,34,DI SZ PL,7,7,14,D,U,3,0,25,I,C,3,0,40,D,U,13,95,S,C,3,0,132,Z,U,3,0,23,S,C,5,10,P,U,3,0,31,L,C,3,0,9,L,C,116,27
16,M,27,DI SZ PL,6,5,11,D,U,1,1,26,I,C,2,0,44,D,U,0,0,S,C,3,0,57,Z,U,1,0,3,Z,U,0,0,P,U,3,0,124,L,C,3,0,10,P,U,80,27
17,M,27,SZ PL DI,5,5,10,S,C,3,0,70,Z,U,3,1,30,Z,U,60,0,P,U,3,0,42,L,C,3,0,7,L,C,38,0,D,U,2,1,35,I,C,3,0,64,I,C,0,0
